,UserID,CrosswordID,RawTime,ScaledTime,Rank
456,21.0,26.0,42.0,0.79,6.0
457,21.0,27.0,51.0,1.24,12.0
458,22.0,1.0,45.0,0.78,7.0
459,22.0,2.0,59.0,0.94,7.0
460,22.0,3.0,75.0,1.19,14.0
461,22.0,4.0,186.0,2.21,16.0
462,22.0,5.0,99.0,0.92,9.0
463,22.0,6.0,194.0,3.03,20.0
464,22.0,7.0,378.0,3.07,20.0
465,22.0,8.0,104.0,1.79,17.0
466,22.0,9.0,91.0,1.34,16.0
467,22.0,10.0,63.0,1.26,13.0
468,22.0,11.0,76.0,1.18,14.0
469,22.0,12.0,121.0,2.16,18.0
470,22.0,13.0,139.0,1.71,17.0
471,22.0,14.0,111.0,1.31,15.0
472,22.0,15.0,134.0,2.82,19.0
473,22.0,16.0,27.0,0.83,6.0
474,22.0,17.0,57.0,1.0,10.0
475,22.0,18.0,36.0,0.92,9.0
476,22.0,19.0,47.0,1.0,12.0
477,22.0,20.0,120.0,2.35,12.0
478,22.0,21.0,132.0,2.03,17.0
479,22.0,22.0,97.0,2.13,19.0
480,22.0,23.0,48.0,1.1,12.0
481,22.0,24.0,90.0,1.65,22.0
482,22.0,25.0,116.0,1.9,18.0
483,22.0,26.0,63.0,1.18,14.0
484,22.0,27.0,52.0,1.27,13.0
485,22.0,28.0,97.0,2.43,17.0
486,22.0,29.0,168.0,4.2,16.0
487,23.0,2.0,55.0,0.87,6.0
488,23.0,3.0,27.0,0.43,1.0
489,23.0,4.0,49.0,0.58,5.0
490,23.0,5.0,98.0,0.91,8.0
491,23.0,6.0,75.0,1.17,13.0
492,23.0,7.0,46.0,0.37,1.0
493,23.0,8.0,52.0,0.9,8.0
494,23.0,9.0,41.0,0.6,7.0
495,23.0,10.0,70.0,1.4,15.0
496,23.0,11.0,54.0,0.84,7.0
497,23.0,12.0,51.0,0.91,8.0
498,23.0,13.0,131.0,1.61,16.0
499,23.0,14.0,87.0,1.02,12.0
500,23.0,16.0,47.0,1.45,15.0
501,23.0,17.0,40.0,0.7,5.0
502,23.0,18.0,41.0,1.05,14.0
503,23.0,20.0,44.0,0.86,6.0
504,23.0,21.0,30.0,0.46,1.0
505,23.0,22.0,76.0,1.67,17.0
506,23.0,24.0,47.0,0.86,8.0
507,23.0,25.0,62.0,1.02,12.0
508,23.0,26.0,31.0,0.58,3.0
509,23.0,27.0,36.0,0.88,5.0
510,23.0,28.0,40.0,1.0,9.0
511,23.0,30.0,40.0,0.93,7.0
512,24.0,1.0,50.0,0.86,9.0
513,24.0,2.0,60.0,0.95,8.0
514,24.0,3.0,35.0,0.56,2.0
515,24.0,4.0,99.0,1.18,13.0
516,24.0,5.0,28.0,0.26,1.0
517,24.0,6.0,30.0,0.47,2.0
518,24.0,7.0,130.0,1.06,13.0
519,24.0,8.0,51.0,0.88,7.0
520,24.0,9.0,87.0,1.28,15.0
521,24.0,10.0,30.0,0.6,2.0
522,24.0,11.0,67.0,1.04,12.0
523,24.0,12.0,56.0,1.0,9.0
524,24.0,13.0,28.0,0.34,1.0
525,24.0,14.0,80.0,0.94,7.0
526,24.0,15.0,64.0,1.35,14.0
527,24.0,16.0,23.0,0.71,3.0
528,24.0,17.0,46.0,0.81,6.0
529,24.0,18.0,25.0,0.64,2.0
530,24.0,19.0,26.0,0.55,1.0
531,24.0,20.0,43.0,0.84,5.0
532,24.0,21.0,39.0,0.6,2.0
533,24.0,22.0,45.0,0.99,10.0
534,24.0,23.0,41.0,0.94,7.0
535,24.0,24.0,24.0,0.44,2.0
536,24.0,25.0,37.0,0.61,2.0
537,24.0,26.0,50.0,0.93,9.0
538,24.0,27.0,39.0,0.95,7.0
539,24.0,28.0,41.0,1.03,11.0
540,24.0,29.0,33.0,0.83,4.0
541,24.0,30.0,34.0,0.79,3.0
542,25.0,1.0,41.0,0.71,3.0
543,25.0,2.0,52.0,0.83,5.0
544,25.0,3.0,45.0,0.71,5.0
545,25.0,4.0,47.0,0.56,4.0
546,25.0,5.0,68.0,0.63,4.0
547,25.0,6.0,49.0,0.77,7.0
548,25.0,7.0,140.0,1.14,14.0
549,25.0,8.0,49.0,0.84,4.0
550,25.0,9.0,38.0,0.56,5.0
551,25.0,10.0,54.0,1.08,12.0
552,25.0,11.0,47.0,0.73,5.0
553,25.0,12.0,73.0,1.3,14.0
554,25.0,13.0,84.0,1.03,10.0
555,25.0,14.0,80.0,0.94,7.0
556,25.0,15.0,68.0,1.43,15.0
557,25.0,16.0,31.0,0.95,9.0
558,25.0,17.0,73.0,1.28,15.0
559,25.0,18.0,33.0,0.85,7.0
560,25.0,19.0,51.0,1.09,14.0
561,25.0,20.0,42.0,0.82,4.0
562,25.0,21.0,42.0,0.65,3.0
563,25.0,22.0,29.0,0.64,3.0
564,25.0,23.0,56.0,1.29,13.0
565,25.0,24.0,57.0,1.05,14.0
566,25.0,25.0,41.0,0.67,5.0
567,25.0,26.0,50.0,0.93,9.0
568,25.0,27.0,33.0,0.8,3.0
569,25.0,28.0,40.0,1.0,9.0
570,25.0,30.0,42.0,0.98,9.0
571,26.0,1.0,73.0,1.26,15.0
572,26.0,4.0,204.0,2.43,17.0
573,26.0,5.0,179.0,1.66,20.0
574,26.0,6.0,132.0,2.06,19.0
575,26.0,8.0,169.0,2.91,21.0
576,26.0,9.0,132.0,1.94,19.0
577,26.0,10.0,122.0,2.44,19.0
578,26.0,15.0,69.0,1.45,16.0
579,26.0,17.0,75.0,1.32,16.0
580,26.0,18.0,201.0,5.15,25.0
581,26.0,19.0,35.0,0.74,4.0
582,26.0,21.0,236.0,3.63,21.0
583,26.0,22.0,107.0,2.35,20.0
584,26.0,23.0,115.0,2.64,18.0
585,26.0,24.0,136.0,2.5,23.0
586,26.0,25.0,67.0,1.1,14.0
587,26.0,26.0,107.0,2.0,19.0
588,26.0,29.0,29.0,0.73,3.0
0,23.0,32.0,77.0,0.6,1.0
0,8.0,32.0,81.0,0.63,2.0
0,25.0,32.0,81.0,0.63,3.0
0,24.0,32.0,89.0,0.69,4.0
0,1.0,32.0,94.0,0.73,5.0
0,5.0,32.0,104.0,0.81,6.0
0,12.0,32.0,114.0,0.88,7.0
0,18.0,32.0,116.0,0.9,8.0
0,15.0,32.0,142.0,1.1,9.0
0,3.0,32.0,158.0,1.22,10.0
0,7.0,32.0,177.0,1.37,11.0
0,11.0,32.0,191.0,1.48,12.0
0,22.0,32.0,194.0,1.5,13.0
0,10.0,32.0,195.0,1.51,14.0
0,4.0,32.0,253.0,1.96,15.0
0,19.0,32.0,341.0,2.64,16.0
0,2.0,32.0,,,
0,6.0,32.0,,,
0,9.0,32.0,,,
0,13.0,32.0,,,
0,16.0,32.0,,,
0,17.0,32.0,,,
0,21.0,32.0,,,
0,14.0,32.0,,,
0,20.0,32.0,,,
0,26.0,32.0,,,
